ticker,date,side,spot,final,vol_rank_pct,credit,max_loss,pnl_per_spread
NVDA,2025-11-20,bear_call,180.92,182.35,0.706,122.53,377.47,122.53
NVDA,2025-11-21,bear_call,178.93,185.57,0.702,121.03,378.97,121.03
NVDA,2026-02-17,bull_put,185.11,180.03,0.702,117.71,382.29,117.71
NVDA,2026-02-26,bear_call,184.86,183.11,0.746,113.68,386.32,113.68
NVDA,2026-02-27,bear_call,177.21,180.21,0.77,117.56,382.44,117.56
NVDA,2026-03-02,bear_call,182.4,183.17,0.786,121.11,378.89,121.11
NVDA,2026-03-03,bear_call,180.03,181.96,0.778,119.1,380.9,119.1
NVDA,2026-03-04,bear_call,182.97,180.38,0.766,117.75,382.25,117.75
NVDA,2026-03-05,bear_call,183.31,178.5,0.75,113.6,386.4,113.6
NVDA,2026-03-06,bear_call,177.7,172.91,0.77,115.74,384.26,115.74
NVDA,2026-05-06,bull_put,207.67,223.48,0.81,109.21,390.79,109.21
NVDA,2026-05-07,bull_put,211.56,219.47,0.813,110.33,389.67,110.33
NVDA,2026-05-08,bull_put,215.21,215.34,0.806,109.43,390.57,109.43
NVDA,2026-05-11,bull_put,219.45,214.78,0.817,110.64,389.36,110.64
NVDA,2026-05-12,bull_put,220.88,212.57,0.738,105.37,394.63,105.37
NVDA,2026-05-13,bull_put,225.91,214.27,0.754,107.24,392.76,72.79
NVDA,2026-05-14,bull_put,235.78,211.16,0.845,114.3,385.7,-385.7
NVDA,2026-05-15,bull_put,225.31,224.42,0.952,125.55,374.45,125.55
NVDA,2026-05-18,bull_put,222.35,222.82,0.96,126.6,373.4,126.6
NVDA,2026-05-19,bull_put,220.65,214.86,0.952,126.01,373.99,126.01
NVDA,2026-05-20,bull_put,223.48,218.64,0.948,126.27,373.73,126.27
NVDA,2026-05-21,bull_put,219.47,205.17,0.96,126.63,373.37,-206.02
NVDA,2026-05-22,bull_put,215.34,208.66,0.909,122.14,377.86,122.14
NVDA,2026-05-26,bull_put,214.78,208.2,0.841,115.25,384.75,115.25
NVDA,2026-05-27,bull_put,212.57,200.41,0.837,114.33,385.67,-39.29
NVDA,2026-05-28,bull_put,214.27,204.86,0.833,113.07,386.93,113.07
NVDA,2026-06-01,bull_put,224.42,212.46,0.857,118.27,381.73,44.37
NVDA,2026-06-02,bull_put,222.82,207.37,0.857,118.8,381.2,-312.1
NVDA,2026-06-03,bull_put,214.86,204.7,0.937,124.47,375.53,124.47
NVDA,2026-06-04,bull_put,218.64,210.38,0.817,113.5,386.5,113.5
NVDA,2026-06-05,bull_put,205.17,208.59,0.976,128.55,371.45,128.55
NVDA,2026-06-08,bull_put,208.66,200.07,0.972,128.88,371.12,128.88
NVDA,2026-06-09,bull_put,208.2,198.94,0.956,127.06,372.94,127.06
NVDA,2026-06-10,bear_call,200.41,195.89,0.984,122.03,377.97,122.03
NVDA,2026-06-11,bear_call,204.86,191.97,0.976,122.36,377.64,122.36
NVDA,2026-06-12,bear_call,205.17,194.92,0.889,115.16,384.84,115.16
